"PARENT_NAME","NAME"
"""Core""","Fact - HCM - Position Model Profile"
"""Core""","Fact - HCM - Termination Assignments (Gender)"
"""Core""","Fact - NetSuite GL Impact Adjustment"
"""Core""","Fact - HCM - HR Help Desk Request"
"""Core""","Fact - HCM - Change Requests"
"""Core""","Fact - RPD Merge - Procurement Management"
"""Core""","Fact - HCM - Assignments (Period Start)"
"""Core""","Fact - NetSuite Vendor Bill"
"""Core""","Fact - INV - Inventory Turns"
"""Core""","Fact - CX - Eloqua External Activities Summary"
"""Core""","Fact - NetSuite Subscription"
"""Core""","Fact - Receipt Accounting Accrual Balances at Receipt"
"""Core""","Fact - Assignment"
"""Core""","Fact - INV - Inventory Transactions"
"""Core""","Fact - CX - Service Request Lifecycle"
"""Core""","Fact - NetSuite Order to Cash - Customer Invoice"
"""Core""","Fact - Fins - AR Credit Memo and Applications (Pre-SLA)"
"""Core""","Fact - PRJ - Project SLA Costing"
"""EBS Core""","Fact - EBS Fins - AP Aging (Pre-SLA)"
"""Core""","Fact - CX - Eloqua Form Activities Summary"
"""Core""","Fact - HCM - Payroll Run Costing"
"""Core""","Fact - RPD Merge - ERP - Receipt Accounting"
"""Core""","Fact - RPD Merge - Absence Management"
"""Core""","Fact - CX - SF Campaign Members"
"""Core""","Fact - CX - Eloqua Email Activities"
"""Core""","Fact - CX - Eloqua Lead Activities Summary"
"""Core""","Fact - HCM - Termination Assignments (Ethnicity)"
"""Core""","Fact - NetSuite Charge"
"""Core""","Fact - Fins - AR Aging"
"""Core""","Fact - HCM - Voluntary Termination Assignments (Gender)"
"""Core""","Fact - CX - Activity"
"""Core""","Fact - CX - Eloqua Campaign Activity Analysis"
"""Core""","Fact - PRC - Requisitions"
"""Core""","Fact - NetSuite Currency Revaluation"
"""Core""","Fact - Data Validation"
"""Core""","Fact - NetSuite Budget"
"""Core""","Fact - Fins - GL Account Analysis Template"
"""Core""","Fact - NetSuite Paycheck"
"""Core""","Fact - Costing - Cogs and Gross Margin"
"""Core""","Fact - HCM - Accrual Transactions"
"""Core""","Fact - NetSuite Expense Report Snapshot"
"""Core""","Fact - RPD Merge - Workforce Compensation"
"""Core""","Fact - NetSuite Customer Payment Snapshot"
"""Core""","Fact - CX - Marketing Activities"
"""Core""","Fact - PRJ - Project Commitment"
"""Core""","Fact - OM Sales Orders"
"""Core""","Fact - NetSuite Vendor Return Authorization"
"""Core""","Fact - RPD Merge - Project Billing"
"""Core""","Fact - NetSuite Journal"
"""Core""","Fact - RPD Merge - Inventory"
"""EBS Core""","Fact - EBS Fins - AP Compound"
"""Core""","Fact - NetSuite Sales Insights Lines"
"""Core""","Fact - NetSuite Revenue Commitment Reversal"
"""Core""","Fact - CX - SF Activity"
"""Core""","Fact - RPD Merge - Seniority Dates"
"""Core""","Fact - NetSuite Timesheet"
"""Core""","Fact - NetSuite Customer Payment"
"""Core""","Fact - Fins - AP Liability Distributions"
"""Core""","Fact - NetSuite Wave"
"""Core""","Fact - Fins - GL Journals"
"""Core""","Fact - HCM - Learning Outcomes"
"""Core""","Fact - Fins - AP Invoice Schedules (Pre-SLA)"
"""Core""","Fact - NetSuite Inventory Snapshot"
"""Core""","Fact - NetSuite Revenue Commitment"
"""Core""","Fact - RPD Merge - Inventory Aging"
"""Core""","Fact - Fins - AR Adjustments"
"""Core""","Fact - PRJ - Project Forecast"
"""Core""","Fact - Hcm - Workforce Gain and Loss"
"""Core""","Fact - HCM - HNS Events"
"""Core""","Fact - NetSuite Bin Transfer"
"""Core""","Fact - NetSuite Customer Churn Prediction"
"""Core""","Fact - NetSuite Procure to Pay - Vendor Payment Activity"
"""Core""","Fact - RPD Merge - Cost Accounting"
"""Core""","Fact - RPD Merge - Manufacturing"
"""Core""","Fact - HCM - Person Seniority"
"""Core""","Fact - INV - Inventory Balances"
"""Core""","Fact - NetSuite Procure to Pay - Item Receipt"
"""Core""","Fact - HCM - Job Application (Hiring)"
"""Core""","Fact - NetSuite Assembly Build"
"""Core""","Fact - PRJ - Project Budget"
"""Core""","Fact - NetSuite Support Issue"
"""Core""","Fact - NetSuite Stockout Prediction"
"""Core""","Fact - NetSuite Invoice Group"
"""Core""","Fact - CX - Eloqua Lead Activities"
"""Core""","Fact - Manufacturing - Operation Transaction"
"""Core""","Fact - CX - Service Request Milestone"
"""Core""","Fact - Fins - AR Schedule Prediction Deciles"
"""Core""","Z - Container for Unexposed PPM Physical Objects"
"""Core""","Fact - NetSuite Customer Payment Authorization"
"""Core""","Fact - Job Requisition Event"
"""Core""","Fact - NetSuite Return Authorization"
"""Core""","Fact - HCM - Involuntary Termination Assignments (Ethnicity)"
"""Core""","Fact - NetSuite Procure to Pay - Vendor Bill"
"""Core""","Fact - HCM - Salary Basis"
"""Core""","Fact - Fins - AR Adjustments (Pre-SLA)"
"""Core""","Fact - HCM - Promotion Assignments (Age)"
"""Core""","Fact - HCM - Positions"
"""Core""","Fact - RPD Merge - Order Management"
"""Core""","Fact - NetSuite Support Case"
"""Core""","Fact - CX - Subscription Bill Line"
"""Core""","Fact - HCM - Journeys"
"""Core""","Fact - PRJ - Award Fund Allocation"
"""Core""","Fact - NetSuite Number of Days"
"""Core""","Fact - RPD Merge - Accounts Payable"
"""Core""","Fact - CX - Opportunity Header"
"""Core""","Fact - NetSuite Work Order Issue"
"""Core""","Fact - NetSuite Manufacturing Insights"
"""Core""","Fact - NetSuite Purchase Contract"
"""Core""","Fact - RPD Merge - Payroll Balances"
